dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x0800D9BC,74,atan2_8,ref1011_via,0x0800D9BC,exact,1.000,xrefs: BAND_SPIRAL_VAL_math@0x0800DA06(bl) CYCLE_SPIRAL_math@0x0800DA7A(bl) CYCLE_PINWHEEL_math@0x0800DA4A(bl)
0x0800DA06,68,BAND_SPIRAL_VAL_math,ref1011_via,0x0800DA06,exact,1.000,xrefs: BAND_SPIRAL_VAL@0x0800E038(ptr)
0x0800DA4A,48,CYCLE_PINWHEEL_math,ref1011_via,0x0800DA4A,exact,1.000,xrefs: CYCLE_PINWHEEL@0x0800E12C(ptr)
0x0800DA7A,52,CYCLE_SPIRAL_math,ref1011_via,0x0800DA7A,exact,1.000,xrefs: CYCLE_SPIRAL@0x0800E050(ptr)
0x0800DAB0,28,eeconfig_flush_rgb_matrix.part.0,ref1011_via,0x0800DAB0,exact,1.000,xrefs: rgb_matrix_task@0x0800EEF8(bl) eeconfig_update_rgb_matrix_default@0x0800DBB8(b)
0x0800DACC,8,rgb_matrix_hsv_to_rgb,ref1011_via,0x0800DACC,exact,1.000,xrefs: rgb_task_render@0x0800E884(bl) effect_runner_reactive_splash@0x0800E400(bl) TYPING_HEATMAP@0x0800E744(bl) effect_runner_reactive@0x0800E300(bl) ...
0x0800DAD4,224,process_rgb_matrix_typing_heatmap,ref1011_via,0x0800DAD4,exact,1.000,xrefs: process_rgb_matrix@0x0800DDFC(bl)
0x0800DBB8,44,eeconfig_update_rgb_matrix_default,ref1011_via,0x0800DBB8,exact,1.000,xrefs: rgb_matrix_init@0x0800EAB4(bl) rgb_matrix_init@0x0800EAB4(b) indicator_eeconfig_reload@0x080096DC(b)
0x0800DBE4,4,rgb_matrix_map_row_column_to_led_kb,ref1011_via,0x0800DBE4,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar} resolved by caller: bl from rgb_matrix_map_row_column_to_led@0x0800DBE8+0x8 ; same body also matches: _close_r|_lseek_r|null_sendchar_func|sendchar ; xrefs: rgb_matrix_map_row_column_to_led@0x0800DBE8(bl)
0x0800DBE8,40,rgb_matrix_map_row_column_to_led,ref1011_via,0x0800DBE8,exact,1.000,xrefs: DIGITAL_RAIN@0x0800DC90(bl) process_rgb_matrix@0x0800DDFC(bl)
0x0800DC10,12,rgb_matrix_update_pwm_buffers,ref1011_via,0x0800DC10,exact,1.000,xrefs: rgb_task_flush@0x0800EEA8(bl)
0x0800DC1C,16,rgb_matrix_set_color,ref1011_via,0x0800DC1C,exact,1.000,xrefs: rgb_task_render@0x0800E884(bl) DIGITAL_RAIN@0x0800DC90(bl) effect_runner_reactive_splash@0x0800E400(bl) TYPING_HEATMAP@0x0800E744(bl) ...
0x0800DC2C,88,jellybean_raindrops_set_color.isra.0,ref1011_via,0x0800DC2C,exact,1.000,xrefs: JELLYBEAN_RAINDROPS@0x0800E6CC(bl) JELLYBEAN_RAINDROPS@0x0800E6CC(bl)
0x0800DC84,12,rgb_matrix_set_color_all,ref1011_via,0x0800DC84,exact,1.000,xrefs: rgb_task_render@0x0800E884(bl) rgb_task_render@0x0800E884(bl) DIGITAL_RAIN@0x0800DC90(bl) TYPING_HEATMAP@0x0800E744(bl) ...
0x0800DC90,364,DIGITAL_RAIN,ref1011_via,0x0800DC90,exact,1.000,xrefs: rgb_task_render@0x0800E884(bl)
0x0800DDFC,284,process_rgb_matrix,ref1011_via,0x0800DDFC,exact,1.000,xrefs: keyboard_task@0x0800C568(bl)
0x0800DF18,2,rgb_matrix_none_indicators_user,ref1011_via,0x0800DF18,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__chibios_override_boardInit|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|rgb_matrix_none_indicators_user|suspend_power_down_user|suspend_wakeup_init_user|via_init_kb|via_set_layout_options_kb|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task} resolved by caller: bl from rgb_matrix_none_indicators@0x0800DF1A+0x6 ; same body also matches: __aeabi_idiv0|__aeabi_ldiv0|__chibios_override_boardInit|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|suspend_power_down_user|suspend_wakeup_init_user|via_init_kb|via_set_layout_options_kb|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task ; xrefs: rgb_matrix_none_indicators@0x0800DF1A(bl)
0x0800DF1A,12,rgb_matrix_none_indicators,ref1011_via,0x0800DF1A,exact-ambiguous,1.000,ambiguous body {boardInit|housekeeping_task|led_wakeup|rgb_matrix_none_indicators} resolved by caller: bl from rgb_task_render@0x0800E884+0x70 ; same body also matches: boardInit|housekeeping_task|led_wakeup ; xrefs: rgb_task_render@0x0800E884(bl)
0x0800DF26,4,rgb_matrix_indicators_user,ref1011_via,0x0800DF26,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user} resolved by caller: bl from rgb_matrix_indicators_bt@0x08009838+0xE4 ; same body also matches: _getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|shutdown_user ; xrefs: rgb_matrix_indicators_bt@0x08009838(bl) rgb_matrix_indicators_kb@0x0800AA4C(bl)
0x0800DF2A,36,rgb_matrix_get_limits,ref1011_via,0x0800DF2A,exact,1.000,xrefs: rgb_task_render@0x0800E884(bl) effect_runner_reactive_splash@0x0800E400(bl) TYPING_HEATMAP@0x0800E744(bl) effect_runner_reactive@0x0800E300(bl) ...
0x0800DF50,232,effect_runner_dx_dy_dist,ref1011_via,0x0800DF50,exact,1.000,xrefs: BAND_SPIRAL_VAL@0x0800E038(b) CYCLE_OUT_IN@0x0800E044(b) CYCLE_SPIRAL@0x0800E050(b)
0x0800E038,12,BAND_SPIRAL_VAL,ref1011_via,0x0800E038,exact-ambiguous,1.000,ambiguous body {BAND_SPIRAL_VAL|CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE} resolved by caller: bl from rgb_task_render@0x0800E884+0xA6 ; same body also matches: CYCLE_ALL|CYCLE_LEFT_RIGHT|CYCLE_OUT_IN|CYCLE_OUT_IN_DUAL|CYCLE_PINWHEEL|CYCLE_SPIRAL|CYCLE_UP_DOWN|DUAL_BEACON|RAINBOW_BEACON|RAINBOW_MOVING_CHEVRON|SOLID_REACTIVE_SIMPLE ; xrefs: rgb_task_render@0x0800E884(bl)
