dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x0800b1a8,4,process_record_user,0x0800b100,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,keymap_introspection.o,1.000
0x0800b1ac,40,keycode_at_keymap_location_raw,0x0800b104,40,3.40,match; entry=bl; callgraph 1/1; opsim=0.94,keymap_introspection.o,0.938
0x0800b1d4,32,keycode_at_encodermap_location_raw,0x0800b12c,32,3.40,match; entry=bl; callgraph 1/1; opsim=1.00,keymap_introspection.o,1.000
0x0800b1f4,4,pre_process_record_user,0x0800b14c,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,quantum.o,1.000
0x0800b1f8,8,pre_process_record_kb,0x0800b150,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,quantum.o,1.000
0x0800b200,4,process_action_kb,0x0800b158,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,quantum.o,1.000
0x0800b204,2,post_process_record_user,0x0800b15c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,quantum.o,1.000
0x0800b206,10,post_process_record_kb,0x0800b15e,8,1.60,match; entry=bl; callgraph 2/2; opsim=0.86,quantum.o,0.857
0x0800b210,76,get_event_keycode,0x0800b168,72,2.04,match; callgraph 3/3; opsim=0.93,quantum.o,0.926
0x0800b25c,24,get_record_keycode,0x0800b1b0,22,1.15,match; entry=bl; callgraph 3/3; opsim=0.78,quantum.o,0.778
0x0800b274,18,pre_process_record_quantum,0x0800b1c6,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,quantum.o,1.000
0x0800b286,18,post_process_record_quantum,0x0800b1d8,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,quantum.o,1.000
0x0800b298,4,shutdown_user,0x0800b1ea,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,quantum.o,1.000
0x0800b29c,8,shutdown_kb,0x0800b1ee,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,quantum.o,1.000
0x0800b2a4,28,shutdown_quantum,0x0800b1f6,26,2.29,match; entry=bl; callgraph 4/4; opsim=0.59,quantum.o,0.588
0x0800b2c0,16,reset_keyboard,0x0800b210,16,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,quantum.o,1.000
0x0800b2d0,16,soft_reset_keyboard,0x0800b220,16,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,quantum.o,1.000
0x0800b2e0,190,process_record_quantum,0x0800b230,178,2.61,match; entry=bl; callgraph 16/16; opsim=0.80,quantum.o,0.803
0x0800b39e,24,suspend_power_down_quantum,0x0800b2e2,24,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,quantum.o,1.000
0x0800b3b6,20,suspend_wakeup_init_quantum,0x0800b2fa,20,2.20,match; callgraph 2/2; opsim=1.00,quantum.o,1.000
0x0800b3ca,30,biton,0x0800b30e,26,1.50,match; entry=bl; callgraph 1/1; opsim=0.44,bitwise.o,0.444
0x0800b3e8,2,led_set_user,0x0800b328,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,led.o,1.000
0x0800b3ea,4,led_update_user,0x0800b32a,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,led.o,1.000
0x0800b3ee,2,led_update_ports,0x0800b32e,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,led.o,1.000
0x0800b3f0,2,led_init_ports,0x0800b330,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,led.o,1.000
0x0800b3f2,16,led_set,0x0800b332,16,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,led.o,1.000
0x0800b402,10,led_suspend,0x0800b342,10,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,led.o,1.000
0x0800b40c,12,led_wakeup,0x0800b34c,12,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,led.o,1.000
0x0800b418,44,led_task,0x0800b358,44,2.20,match; callgraph 3/3; opsim=1.00,led.o,1.000
0x0800b444,64,action_exec,0x0800b384,60,2.01,match; entry=bl; callgraph 6/6; opsim=0.73,action.o,0.727
0x0800b484,14,process_record_tap_hint,0x0800b3c0,14,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,action.o,1.000
0x0800b492,22,register_mouse,0x0800b3ce,22,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,action.o,1.000
0x0800b4a8,144,register_code,0x0800b3e4,144,3.70,match; entry=bl; callgraph 11/11; opsim=1.00,action.o,1.000
0x0800b538,114,unregister_code,0x0800b474,114,2.20,match; entry=bl; callgraph 9/9; opsim=1.00,action.o,1.000
0x0800b5aa,32,tap_code_delay,0x0800b4e6,32,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,action.o,1.000
0x0800b5ca,16,tap_code,0x0800b506,16,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,action.o,1.000
0x0800b5da,18,register_mods,0x0800b516,18,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,action.o,1.000
0x0800b5ec,20,unregister_mods,0x0800b528,18,1.90,match; entry=bl; callgraph 3/3; opsim=0.92,action.o,0.923
0x0800b600,948,process_action,0x0800b53c,924,1.42,match; callgraph 37/37; opsim=0.87,action.o,0.874
0x0800b9b4,40,process_record_handler,0x0800b8d8,34,1.75,match; entry=bl; callgraph 4/4; opsim=0.81,action.o,0.815
0x0800b9dc,60,process_record,0x0800b8fc,60,2.20,match; entry=bl; callgraph 7/7; opsim=1.00,action.o,1.000
0x0800ba18,34,clear_keyboard_but_mods_and_keys,0x0800b938,34,2.20,match; callgraph 5/5; opsim=1.00,action.o,1.000
0x0800ba3a,14,clear_keyboard_but_mods,0x0800b95a,14,2.20,match; callgraph 1/1; opsim=1.00,action.o,1.000
0x0800ba48,14,clear_keyboard,0x0800b968,14,2.20,match; entry=bl; callgraph 8/8; opsim=1.00,action.o,1.000
0x0800ba56,66,is_tap_action,0x0800b976,72,1.65,match; opsim=0.75,action.o,0.750
0x0800ba98,24,is_tap_record,0x0800b9be,24,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,action.o,1.000
0x0800bab0,12,debug_event,0x0800b9d6,10,1.40,match; entry=bl; callgraph 1/1; opsim=0.67,action.o,0.667
0x0800babc,12,debug_record,0x0800b9e0,10,1.40,match; entry=bl; callgraph 2/2; opsim=0.67,action.o,0.667
0x0800bac8,2,default_layer_state_set_user,0x0800b9ea,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,action_layer.o,1.000
0x0800baca,10,default_layer_state_set_kb,0x0800b9ec,8,1.60,match; entry=bl; callgraph 2/2; opsim=0.86,action_layer.o,0.857
0x0800bad4,16,default_layer_state_set,0x0800b9f4,16,2.20,match; callgraph 1/1; opsim=1.00,action_layer.o,1.000
