dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x0800dbf8,16,default_layer_and,0x0800bca4,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dc08,16,default_layer_xor,0x0800bcb4,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dc18,2,layer_state_set_user,0x0800bcc4,2,1.90,HOOK-DEFAULT: layer_state_set_user (2 B default; BL from layer_state_set_kb @0x0800dc1a); match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dc1a,10,layer_state_set_kb,0x0800bcc6,8,1.60,match; entry=bl; callgraph 2/2; opsim=0.86,,action_layer.o,0.857
0x0800dc24,16,layer_state_set,0x0800bcd0,16,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_layer.o,1.000
0x0800dc34,8,layer_clear,0x0800bce0,6,1.15,match; entry=bl; callgraph 1/3; opsim=0.80,,action_layer.o,0.800
0x0800dc3c,28,layer_state_is [QMK action_layer.c; absent from ref build (unused there)],,,,"LIKELY: called from user code with a layer index; body: ldrh layer_state @RAM 0x2000162e, clz/asr bit test -> bool (== layer_state_is/layer_state_cmp)",,,
0x0800dc58,12,layer_move,0x0800bce6,12,1.90,match; entry=bl; callgraph 1/3; opsim=1.00,,action_layer.o,1.000
0x0800dc64,24,layer_on,0x0800bcf4,24,1.90,match; entry=bl; callgraph 2/3; opsim=1.00,,action_layer.o,1.000
0x0800dc7c,20,layer_off,0x0800bd0c,20,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,action_layer.o,1.000
0x0800dc90,24,layer_invert,0x0800bd20,24,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dca8,16,layer_or,0x0800bd38,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dcb8,16,layer_and,0x0800bd48,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dcc8,16,layer_xor,0x0800bd58,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dcd8,2,layer_debug,0x0800bd68,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_layer.o,1.000
0x0800dcda,50,update_source_layers_cache_impl,0x0800bd6a,48,1.78,match; opsim=0.87,,action_layer.o,0.872
0x0800dd0c,40,read_source_layers_cache_impl,0x0800bd9a,38,1.75,match; opsim=0.97,,action_layer.o,0.970
0x0800dd34,68,update_source_layers_cache,0x0800bdc0,60,1.05,match; entry=bl; callgraph 2/2; opsim=0.78,,action_layer.o,0.783
0x0800dd78,60,read_source_layers_cache,0x0800bdfc,60,1.90,match; entry=bl; callgraph 2/2; opsim=0.91,,action_layer.o,0.909
0x0800ddb4,68,layer_switch_get_layer,0x0800be38,68,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,action_layer.o,1.000
0x0800ddf8,24,layer_switch_get_action,0x0800be7c,24,2.20,match; entry=bl; callgraph 3/3; opsim=1.00,,action_layer.o,1.000
0x0800de10,72,store_or_get_action,0x0800be94,72,2.20,match; entry=bl; callgraph 4/4; opsim=1.00,,action_layer.o,1.000
0x0800de58,64,debug_waiting_buffer,0x0800bedc,64,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_tapping.o,1.000
0x0800de98,32,debug_tapping_key,0x0800bf1c,32,1.40,match; entry=bl; callgraph 1/1; opsim=0.76,,action_tapping.o,0.762
0x0800deb8,68,waiting_buffer_typed.isra.0,0x0800bfc0,68,,inferred-by-callers (2/2 matched callers call waiting_buffer_typed.isra.0 in ref); size dump 68 vs ref 68; INSERTION (no ref function); entry=bl,,action_tapping.o,
0x0800defc,4,waiting_buffer_scan_tap,0x0800bf3c,132,-1.21,split1; entry=bl; callgraph 1/3; opsim=0.04,,action_tapping.o,0.040
0x0800df00,148,waiting_buffer_scan_tap,0x0800bf3c,132,0.38,split2; entry=bl; callgraph 2/4; opsim=0.59,,action_tapping.o,0.592
0x0800df94,648,process_tapping,0x0800c004,584,0.90,match; entry=bl; callgraph 8/10; opsim=0.80,,action_tapping.o,0.796
0x0800e21c,196,action_tapping_process,0x0800c24c,188,2.08,match; entry=bl; callgraph 5/6; opsim=0.85,,action_tapping.o,0.848
0x0800e2e0,12,get_oneshot_layer,0x0800c328,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e2ec,16,get_oneshot_layer_state,0x0800c334,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e2fc,20,is_oneshot_layer_active,0x0800c374,20,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e310,12,get_mods,0x0800c388,12,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,,action_util.o,1.000
0x0800e31c,16,add_mods,0x0800c394,16,1.90,match; entry=bl; callgraph 4/4; opsim=1.00,,action_util.o,1.000
0x0800e32c,16,del_mods,0x0800c3a4,16,1.90,match; entry=bl; callgraph 4/4; opsim=1.00,,action_util.o,1.000
0x0800e33c,12,clear_mods,0x0800c3b4,12,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e348,12,get_weak_mods,0x0800c3c0,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e354,16,add_weak_mods,0x0800c3cc,16,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e364,16,del_weak_mods,0x0800c3dc,16,1.90,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e374,12,clear_weak_mods,0x0800c3ec,12,1.90,match; entry=bl; callgraph 4/4; opsim=1.00,,action_util.o,1.000
0x0800e380,12,get_oneshot_mods,0x0800c3f8,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e38c,8,oneshot_locked_mods_changed_kb,0x0800c406,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e394,28,add_oneshot_locked_mods,0x0800c410,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e3b0,24,clear_oneshot_locked_mods [QMK action_util.c; absent from ref build],,,,VERIFIED by body: if (byte @0x200016a5) { byte=0; oneshot_locked_mods_changed_kb(0) @0x0800e38c } == clear_oneshot_locked_mods(); called from user OSM handler 0x0800d0b4,,,
0x0800e3c8,28,del_oneshot_locked_mods,0x0800c42c,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e3e4,8,oneshot_mods_changed_user+oneshot_mods_changed_kb,0x0800c448,10,1.10,merge2A; entry=bl; callgraph 3/3; refs=oneshot_mods_changed_user+oneshot_mods_changed_kb,,action_util.o,
0x0800e3ec,28,add_oneshot_mods,0x0800c454,44,0.61,match; entry=bl; callgraph 1/2; opsim=0.72,,action_util.o,0.720
0x0800e408,28,del_oneshot_mods,0x0800c480,44,0.61,match; entry=bl; callgraph 1/2; opsim=0.80,,action_util.o,0.800
0x0800e424,24,clear_oneshot_mods,0x0800c4ac,32,1.45,match; entry=bl; callgraph 1/2; opsim=0.90,,action_util.o,0.900
0x0800e43c,48,get_mods_for_report,0x0800c4cc,60,0.60,match; entry=bl; callgraph 4/4; opsim=0.78,,action_util.o,0.778
0x0800e46c,56,send_6kro_report,0x0800c508,56,2.20,match; callgraph 1/2; opsim=1.00,,action_util.o,1.000
0x0800e4a4,56,send_nkro_report,0x0800c540,56,2.20,match; callgraph 1/2; opsim=1.00,,action_util.o,1.000
0x0800e4dc,32,send_keyboard_report,0x0800c578,32,1.90,match; entry=bl; callgraph 6/6; opsim=1.00,,action_util.o,1.000
0x0800e4fc,8,oneshot_layer_changed_kb,0x0800c59a,8,2.20,match; entry=bl; callgraph 2/3; opsim=1.00,,action_util.o,1.000
0x0800e504,48,set_oneshot_layer,0x0800c5a4,60,1.10,match; entry=bl; callgraph 4/4; opsim=0.91,,action_util.o,0.909
0x0800e534,20,reset_oneshot_layer,0x0800c5e0,28,1.34,match; entry=bl; callgraph 2/2; opsim=0.88,,action_util.o,0.875
0x0800e548,52,clear_oneshot_layer_state,0x0800c5fc,52,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,action_util.o,1.000
0x0800e57c,44,oneshot_set,0x0800c630,44,2.20,match; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e5a8,24,oneshot_toggle,0x0800c65c,20,1.40,match; entry=bl; callgraph 1/1; opsim=0.73,,action_util.o,0.727
0x0800e5c0,6,oneshot_enable,0x0800c670,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e5c6,6,oneshot_disable,0x0800c676,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,action_util.o,1.000
0x0800e5cc,20,eeconfig_disable,0x0800c67c,20,2.50,match; entry=bl; callgraph 2/2; opsim=1.00,,eeconfig.o,1.000
0x0800e5e0,20,eeconfig_is_enabled,0x0800c690,20,2.50,match; entry=bl; callgraph 3/3; opsim=1.00,,eeconfig.o,1.000
0x0800e5f4,6,eeconfig_read_debug,0x0800c6a4,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,eeconfig.o,1.000
0x0800e5fa,6,eeconfig_read_default_layer,0x0800c6aa,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,eeconfig.o,1.000
0x0800e600,6,eeconfig_read_keymap,0x0800c6b0,6,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,,eeconfig.o,1.000
0x0800e606,8,eeconfig_update_keymap,0x0800c6b6,8,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,eeconfig.o,1.000
0x0800e60e,8,eeconfig_update_kb,0x0800c6be,8,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,,eeconfig.o,1.000
0x0800e616,8,eeconfig_update_user,0x0800c6c6,8,1.90,match; opsim=1.00,,eeconfig.o,1.000
0x0800e61e,6,eeconfig_init_user,0x0800c6ce,6,1.90,HOOK-DEFAULT: eeconfig_init_user (default; BL from eeconfig_init_kb @0x0800e624); match; entry=bl; callgraph 1/1; opsim=1.00,,eeconfig.o,1.000
0x0800e624,16,eeconfig_init_kb,0x0800c6d4,14,1.82,match; entry=bl; callgraph 3/3; opsim=0.91,,eeconfig.o,0.909
0x0800e634,144,eeconfig_init_quantum,0x0800c6e4,140,2.72,match; callgraph 6/6; opsim=0.97,,eeconfig.o,0.970
0x0800e6c4,4,eeconfig_init,0x0800c770,4,1.90,match; entry=bl; callgraph 3/3; opsim=1.00,,eeconfig.o,1.000
0x0800e6c8,56,generate_tick_event,0x0800c77c,52,1.99,match; entry=bl; callgraph 3/3; opsim=0.89,,keyboard.o,0.889
0x0800e700,24,last_matrix_activity_trigger,0x0800c7b0,24,2.20,match; entry=bl; callgraph 2/2; opsim=1.00,,keyboard.o,1.000
