entry,size,name,n_callers,n_callees,is_thunk,signature,strings
0x0800C4B4,144,FUN_0800c4b4,1,6,0,"undefined4 FUN_0800c4b4(uint param_1, int param_2)",
0x0800C54C,54,FUN_0800c54c,1,3,0,"undefined FUN_0800c54c(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)","0801679B:Keychron V10 Max"
0x0800C594,4,thunk_FUN_0800c54c,1,0,1,"undefined thunk_FUN_0800c54c(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)",
0x0800C598,40,FUN_0800c598,1,4,0,"undefined FUN_0800c598(void)",
0x0800C5C4,34,FUN_0800c5c4,1,2,0,"undefined FUN_0800c5c4(void)",
0x0800C5EC,164,FUN_0800c5ec,1,4,0,"undefined FUN_0800c5ec(void)",
0x0800C69C,4,FUN_0800c69c,1,0,0,"undefined4 FUN_0800c69c(void)",
0x0800C6A0,38,FUN_0800c6a0,1,3,0,"undefined4 FUN_0800c6a0(uint param_1, int param_2)",
0x0800C6C6,14,FUN_0800c6c6,1,2,0,"undefined4 FUN_0800c6c6(void)",
0x0800C6D4,20,FUN_0800c6d4,0,4,0,"undefined FUN_0800c6d4(void)",
0x0800C6E8,26,process_record_kb,1,2,0,"undefined4 process_record_kb(uint param_1, int param_2)",
0x0800C702,18,FUN_0800c702,1,2,0,"int FUN_0800c702(void)",
0x0800C714,4,thunk_FUN_0800c6d4,1,0,1,"undefined thunk_FUN_0800c6d4(void)",
0x0800C718,60,FUN_0800c718,0,0,0,"undefined FUN_0800c718(void)",
0x0800C720,158,process_record_keychron_common,1,3,0,"undefined4 process_record_keychron_common(int param_1, int param_2)",
0x0800C7DC,42,FUN_0800c7dc,1,2,0,"undefined FUN_0800c7dc(void)",
0x0800C810,84,FUN_0800c810,2,2,0,"undefined FUN_0800c810(void)",
0x0800C874,104,kc_raw_hid_rx,1,6,0,"undefined4 kc_raw_hid_rx(byte * param_1, int param_2)",080167AC:2024-07-09-13:57:36
0x0800C908,14,FUN_0800c908,1,1,0,"byte * FUN_0800c908(byte * param_1, int param_2)",
0x0800C918,12,FUN_0800c918,1,1,0,"undefined FUN_0800c918(void)",
0x0800C928,226,process_record_factory_test,1,1,0,"byte process_record_factory_test(uint param_1, int param_2)",
0x0800CA18,80,FUN_0800ca18,1,1,0,"undefined4 FUN_0800ca18(void)",
0x0800CA74,12,FUN_0800ca74,2,0,0,"bool FUN_0800ca74(void)",
0x0800CA84,162,FUN_0800ca84,1,10,0,"undefined4 FUN_0800ca84(void)",
0x0800CB44,74,FUN_0800cb44,3,3,0,"undefined FUN_0800cb44(undefined4 * param_1, uint param_2)",
0x0800CB90,392,factory_test_rx,1,6,0,"undefined factory_test_rx(byte * param_1)",080167AC:2024-07-09-13:57:36
