start,size,kind,fn_starts,suggested_names,callers,callees
0x08008188,700,code,,0x08008188=__udivmoddi4,0x08008188<-__aeabi_uldivmod@0x08008158(bl),
0x08008446,418,code,0x080084AC 0x08008544 0x080085BC,0x080084AC=rand 0x080085BC=itoa,0x080084AC<-DIGITAL_RAIN@0x0800FEF0(bl~) 0x080085BC<-factory_test_rx@0x0800CB90(bl) 0x080085BC<-factory_test_rx@0x0800CB90(bl) 0x080085BC<-factory_test_rx@0x0800CB90(bl),0x0800845E->free|malloc|raise 0x0800848E->0x08008544 0x080084DC->free|malloc|raise 0x08008510->0x08008544 0x08008564->0x080089AC 0x08008568->abort 0x0800858A->0x08008544 0x0800859E->0x080085F8 0x080085CA->0x080085F8
0x080085F6,888,code,0x080085F8 0x080086C0 0x08008798 0x0800883C,0x08008798=memset 0x0800883C=memcpy 0x0800883C=wear_leveling_append_raw,0x08008798<-wireless_low_battery_shutdown@0x0800A4E8(bl) 0x08008798<-lkbt51_dfu_tx@0x0800AF8C(bl) 0x08008798<-lkbt51_dfu_tx@0x0800AF8C(bl) 0x0800883C<-factory_test_rx@0x0800CB90(bl) 0x0800883C<-factory_test_rx@0x0800CB90(bl) 0x0800883C<-factory_test_rx@0x0800CB90(bl),
0x08008990,2484,code,0x080089AC 0x080089D4 0x08008A30 0x08008A6C 0x08008ABC 0x08008DE4 0x0800920C,0x080089D4=memcmp 0x0800920C=raise,0x080089D4<-lpm_task@0x0800BDCC(bl) 0x080089D4<-send_6kro_report@0x0800E46C(bl) 0x080089D4<-send_nkro_report@0x0800E4A4(bl) 0x0800920C<-abort@0x080085E8(bl),0x0800899E->0x08008ABC 0x080089C0->0x08008ABC 0x08008A88->0x08008A30 0x08008AAC->0x08008DE4 0x08008B56->memchr 0x08008B9E->memchr 0x08008BC0->memchr 0x08008C0C->0x08009B00 0x08008C3E->0x08008A30 0x08008CDA->0x08009D4C 0x08008D0C->0x08009518 0x08008D96->0x08009B00 0x08008DA4->0x0800968C 0x08008DB6->0x0800968C 0x08008DC4->0x08009518 0x08008E6A->0x08009B00
0x080093A0,1728,code,0x080093A4 0x08009518 0x0800968C 0x08009710 0x08009758 0x08009858 0x08009914 0x08009A14,0x0800968C=_fflush_r 0x08009858=_free_r 0x08009A14=_fwalk_sglue,0x0800968C<-stdio_exit_handler@0x08009348(ptr) 0x0800968C<-cleanup_stdio@0x08009360(bl~) 0x0800968C<-cleanup_stdio@0x08009360(bl~) 0x08009858<-free@0x08008980(b) 0x08009A14<-stdio_exit_handler@0x08009348(b),0x080093D8->0x08008798 0x08009404->0x08008798 0x0800943A->0x08008798 0x080094BA->0x08008798 0x080094D8->0x08009758 0x080094F2->0x08008798 0x080094FC->0x080093A4 0x080095E6->0x08009858 0x080096B6->0x08009518 0x080096F0->0x08009518 0x08009720->_sbrk_r 0x08009736->_sbrk_r 0x0800974C->_sbrk_r 0x08009778->0x08009FD0 0x080097B0->0x08009710 0x080097BE->0x08009FD4
0x08009B00,1656,code,0x08009BC4 0x08009C28 0x08009D4C 0x08009FD0 0x08009FD4 0x08009FD8 0x0800A0EC 0x0800A114 0x0800A154,,,0x08009B76->0x08009FD8 0x08009B90->0x08009858 0x08009BAC->0x08009518 0x08009BD2->0x0800A180 0x08009BE6->0x08009758 0x08009BF8->0x0800883C 0x08009C00->0x08009858 0x08009C14->0x08009858 0x08009DE4->0x08009C28 0x08009EF4->memchr 0x0800A002->_fstat_r 0x0800A012->0x08009758 0x0800A03A->0x080166D6 0x0800A064->0x08009758 0x0800A0B0->_fstat_r 0x0800A0F4->_read_r
0x0800A180,58,code,0x0800A190,,,0x0800A1A2->_exit|_kill
0x0800A33C,100,code,,,,0x0800A342->battery_is_critical_low 0x0800A374->0x0800883C 0x0800A37A->report_buffer_enqueue 0x0800A390->wireless_connect
0x0800A98C,148,code,,0x0800A98C=lkbt51_init,0x0800A98C<-keyboard_post_init_kb@0x0800CD38(bl~),0x0800A99C->_pal_lld_setgroupmode 0x0800A9A4->chThdSleep 0x0800A9B8->_pal_lld_setgroupmode 0x0800A9C6->_pal_lld_setgroupmode 0x0800A9D2->_pal_lld_setgroupmode 0x0800A9DE->_pal_lld_setgroupmode 0x0800A9EC->0x0801410C 0x0800A9F8->_pal_lld_setgroupmode 0x0800A9E8->0x0801410C 0x0800AA0A->_pal_lld_setgroupmode
0x0800AB3C,224,code,0x0800AB70 0x0800ABA4 0x0800ABDC,,,0x0800AB48->0x08008798 0x0800AB58->0x0800883C 0x0800AB7C->0x08008798 0x0800AB8C->0x0800883C 0x0800ABB0->0x08008798 0x0800ABF2->0x08008798 0x0800AB68->lkbt51_send_cmd 0x0800AB9C->lkbt51_send_cmd 0x0800ABD2->lkbt51_send_cmd 0x0800AC12->lkbt51_send_cmd
0x0800AC68,440,code,0x0800ACEC 0x0800AD2C 0x0800AD70 0x0800ADA0 0x0800ADF8,0x0800ADA0=lkbt51_read 0x0800ADF8=lkbt51_send_conn_evt_ack,0x0800ADA0<-lkbt51_task@0x0800B008(bl~) 0x0800ADF8<-lkbt51_task@0x0800B008(bl~),0x0800AC76->0x08008798 0x0800ACAC->0x080086C0 0x0800ACB6->0x0800883C 0x0800ACBC->0x080086C0 0x0800ACC4->lkbt51_wake 0x0800ACFA->0x08008798 0x0800AD14->lkbt51_wake 0x0800AD36->0x08008798 0x0800AD44->spiSelect 0x0800AD4C->chThdSleep 0x0800AD54->chThdSleep 0x0800AD7C->0x08008798 0x0800ADB0->0x08008798 0x0800ADC6->spiStart 0x0800ADCC->spiSelect 0x0800ADDA->spiExchange
0x0800AE58,160,code,0x0800AE88 0x0800AEBC,0x0800AE58=lkbt51_update_bat_state 0x0800AE88=lkbt51_set_param 0x0800AEBC=lkbt51_set_local_name,0x0800AE58<-battery_task@0x0800C1E0(bl~) 0x0800AE88<-lkbt51_param_init@0x0800C54C(bl~) 0x0800AEBC<-lkbt51_param_init@0x0800C54C(bl~),0x0800AE64->0x08008798 0x0800AE94->0x08008798 0x0800AEA4->0x0800883C 0x0800AEC0->0x080086C0 0x0800AECE->0x08008798 0x0800AEDE->0x0800883C 0x0800AE80->lkbt51_send_cmd 0x0800AEB4->lkbt51_send_cmd 0x0800AEF0->lkbt51_send_cmd
0x0800C072,210,code,0x0800C074 0x0800C0EC,0x0800C074=battery_calculate_voltage 0x0800C0EC=battery_get_percentage,0x0800C074<-lkbt51_task@0x0800B008(bl~) 0x0800C0EC<-wireless_event_task@0x0800A570(bl~) 0x0800C0EC<-process_record_keychron_wireless@0x0800C4B4(bl~),0x0800C08A->rgb_matrix_is_enabled
