addr,name,size,file,status
0x0800E380,FUN_0800e380,6,0800e380_FUN_0800e380.c,ok
0x0800E38C,FUN_0800e38c,8,0800e38c_FUN_0800e38c.c,ok
0x0800E394,FUN_0800e394,22,0800e394_FUN_0800e394.c,ok
0x0800E3B0,FUN_0800e3b0,18,0800e3b0_FUN_0800e3b0.c,ok
0x0800E3C8,FUN_0800e3c8,22,0800e3c8_FUN_0800e3c8.c,ok
0x0800E3E4,FUN_0800e3e4,8,0800e3e4_FUN_0800e3e4.c,ok
0x0800E3EC,FUN_0800e3ec,22,0800e3ec_FUN_0800e3ec.c,ok
0x0800E408,FUN_0800e408,22,0800e408_FUN_0800e408.c,ok
0x0800E424,FUN_0800e424,18,0800e424_FUN_0800e424.c,ok
0x0800E43C,FUN_0800e43c,34,0800e43c_FUN_0800e43c.c,ok
0x0800E46C,FUN_0800e46c,48,0800e46c_FUN_0800e46c.c,ok
0x0800E4A4,FUN_0800e4a4,48,0800e4a4_FUN_0800e4a4.c,ok
0x0800E4DC,FUN_0800e4dc,24,0800e4dc_FUN_0800e4dc.c,ok
0x0800E4FC,FUN_0800e4fc,8,0800e4fc_FUN_0800e4fc.c,ok
0x0800E504,FUN_0800e504,40,0800e504_FUN_0800e504.c,ok
0x0800E534,FUN_0800e534,14,0800e534_FUN_0800e534.c,ok
0x0800E548,FUN_0800e548,44,0800e548_FUN_0800e548.c,ok
0x0800E57C,FUN_0800e57c,38,0800e57c_FUN_0800e57c.c,ok
0x0800E5A8,FUN_0800e5a8,20,0800e5a8_FUN_0800e5a8.c,ok
0x0800E5C0,FUN_0800e5c0,6,0800e5c0_FUN_0800e5c0.c,ok
0x0800E5C6,FUN_0800e5c6,6,0800e5c6_FUN_0800e5c6.c,ok
